field,level,m,citation
name,exact,0.79,"GOKO notebook cell 18 stated assumption: M_LAST exact 0.93 x M_FIRST exact 0.85. An assumption, not a publication"
name,first_nick_or_close,0.06,"GOKO cell 18: M_FIRST close 0.08, scaled. Assumption, not a publication"
name,last_close_first_agrees,0.04,"GOKO cell 18: M_LAST close 0.05. Assumption, not a publication"
name,initial_agrees,0.04,"build placeholder (no source); last resort only"
name,swapped,0.01,"build placeholder (no source); last resort only"
name,first_empty,0.03,"build placeholder (no source); last resort only"
name,first_differs,0.02,"GOKO cell 18: M_FIRST differ 0.04, scaled. Assumption"
name,else,0.01,"GOKO cell 18: M_LAST differ 0.02, scaled. Assumption"
middle,exact,0.60,"build placeholder (no source); last resort only"
middle,initial,0.30,"GOKO cell 18: M_MIDDLE_AGREE 0.90 covers exact + initial. Assumption"
middle,differs,0.10,"GOKO cell 18: 1 - M_MIDDLE_AGREE. Assumption"
org,exact,0.55,"build placeholder (no source); last resort only"
org,dba,0.05,"build placeholder (no source); last resort only"
org,short_form,0.20,"build placeholder (no source); last resort only"
org,rare_shared,0.10,"build placeholder (no source); last resort only"
org,common_shared,0.05,"build placeholder (no source); last resort only"
org,sibling,0.02,"build placeholder (no source); last resort only"
org,none,0.03,"build placeholder (no source); last resort only"
dob,exact,0.90,"GOKO cell 18: ID_M stated 0.95, lowered for typos. Assumption"
dob,swap_or_typo,0.05,"build placeholder (no source); last resort only"
dob,year_month,0.01,"build placeholder (no source); last resort only"
dob,year,0.02,"build placeholder (no source); last resort only"
dob,differs,0.02,"GOKO cell 18: 1 - ID_M stated (0.05), shared with typo levels. Assumption"
address,exact,0.35,"build placeholder (no source); people move"
address,street,0.10,"build placeholder (no source)"
address,zip,0.10,"build placeholder (no source)"
address,city_state,0.10,"build placeholder (no source)"
address,state,0.20,"GOKO cell 18: M_STATE 0.80 covers every same-state level. Assumption"
address,differs,0.15,"GOKO cell 18: 1 - M_STATE 0.20, lowered. Assumption"
ssn,exact,0.95,"GOKO cell 18: ID_M stated 0.95. Assumption"
ssn,near,0.03,"build placeholder (no source)"
ssn,differs,0.02,"build placeholder (no source)"
npi,exact,0.95,"GOKO cell 18: ID_M stated 0.95. Assumption"
npi,near,0.02,"build placeholder (no source)"
npi,differs,0.03,"build placeholder (no source)"
dl,exact,0.85,"build placeholder (no source); licences get reissued"
dl,near,0.03,"build placeholder (no source)"
dl,differs,0.12,"build placeholder (no source)"
tin,exact,0.95,"GOKO cell 18: ID_M stated 0.95. Assumption"
tin,near,0.02,"build placeholder (no source)"
tin,differs,0.03,"build placeholder (no source)"
license,exact,0.85,"build placeholder (no source)"
license,differs,0.15,"build placeholder (no source)"
email,exact,0.70,"build placeholder (no source); emails change"
email,differs,0.30,"build placeholder (no source)"
vin,exact,0.50,"build placeholder (no source); people change vehicles"
vin,differs,0.50,"build placeholder (no source)"
plate,exact,0.45,"build placeholder (no source)"
plate,differs,0.55,"build placeholder (no source)"
cnpi,exact,0.80,"build placeholder (no source); organizations hold several"
cnpi,differs,0.20,"build placeholder (no source)"
phone,exact_owned_single,0.45,"build placeholder (no source); phones change"
phone,exact_shared,0.15,"build placeholder (no source)"
phone,differs,0.40,"build placeholder (no source)"
spec_cat,specialty,0.55,"build placeholder (no source)"
spec_cat,category_id,0.25,"build placeholder (no source)"
spec_cat,category_weak,0.10,"build placeholder (no source)"
spec_cat,differs,0.10,"build placeholder (no source)"
co_party,anchored,0.10,"build placeholder (no source); share of true person matches whose tied businesses are identifier-linked"
