"claim_number","recordType","entity_category_name","entity_subcategory_name","entity_name","entity_address","entity_city","entity_state","entity_zip_code","entity_phone","entity_TIN","entity_NER_tag","Entity_Watchlist_flag","Exact_search_Note_ID","Exact_search_matched_watchlist_entity_name","GenAI_search_Note_ID","GenAI_entityNameClearned","GenAI_tok_sort_similarity","Watchlist_entity_id","Watchlist_entity_name","watchlist_address","watchlist_city","watchlist_state","watchlist_zip_code","watchlist_phone","watchlist_TIN"
"C201","entity","medical provider","","Northstar Orthopedics","101 Alder Avenue","Lakeview","IL","60101","555-201-0101","STRESS-201","ORG","0","","","N10","Northstar Orthopedics","","","","","","","","",""
"C201","genai_only","medical provider","","Dr. Ada Monroe","","","","","","","PERSON","1","","","N08","Dr. Ada Monroe","96","WL-C201","Dr. Ada Monroe","","","","","",""
"C202","entity","legal representative","","Silverline Legal","202 Birch Street","Lakeview","IL","60102","555-202-0102","STRESS-202","ORG","0","","","N10","Silverline Legal","","","","","","","","",""
"C202","genai_only","legal representative","","Olivia Park","","","","","","","PERSON","1","","","N08","Olivia Park","96","WL-C202","Olivia Park","","","","","",""
"C203","entity","diagnostic provider","","Meridian Imaging","303 Cedar Road","Lakeview","IL","60103","555-203-0103","STRESS-203","ORG","0","","","N10","Meridian Imaging","","","","","","","","",""
"C203","genai_only","diagnostic provider","","Lee Patel","","","","","","","PERSON","1","","","N08","Lee Patel","96","WL-C203","Lee Patel","","","","","",""
"C204","entity","pharmacy","","Beacon Pharmacy","404 Dogwood Lane","Lakeview","IL","60104","555-204-0104","STRESS-204","ORG","0","","","N10","Beacon Pharmacy","","","","","","","","",""
"C204","genai_only","pharmacy","","Dr. Jordan Kim","","","","","","","PERSON","1","","","N08","Dr. Jordan Kim","96","WL-C204","Dr. Jordan Kim","","","","","",""
"C205","entity","rehabilitation provider","","Atlas Rehabilitation","505 Elm Drive","Lakeview","IL","60105","555-205-0105","STRESS-205","ORG","0","","","N10","Atlas Rehabilitation","","","","","","","","",""
"C205","genai_only","rehabilitation provider","","Samira Noor","","","","","","","PERSON","1","","","N08","Samira Noor","96","WL-C205","Samira Noor","","","","","",""
"C206","entity","claims administrator","","Cedar Claims Services","606 Fir Court","Lakeview","IL","60106","555-206-0106","STRESS-206","ORG","0","","","N10","Cedar Claims Services","","","","","","","","",""
"C206","genai_only","claims administrator","","Gabriel Torres","","","","","","","PERSON","1","","","N08","Gabriel Torres","96","WL-C206","Gabriel Torres","","","","","",""
